url,type,state,city,active_providers,gsc_impressions,impressions_per_provider
/us/louisiana/shreveport,city,LA,"Shreveport",4,14,3.5
/us/arizona/tucson,city,AZ,"Tucson",2,7,3.5
/us/pennsylvania/pittsburgh,city,PA,"Pittsburgh",3,10,3.3
/us/texas/killeen,city,TX,"Killeen",4,13,3.3
/us/colorado/pueblo,city,CO,"Pueblo",3,9,3.0
/us/virginia/virginia-beach,city,VA,"Virginia Beach",3,9,3.0
/us/arkansas/little-rock,city,AR,"Little Rock",2,6,3.0
/us/arizona/tempe,city,AZ,"Tempe",10,29,2.9
/us/ohio/columbus,city,OH,"Columbus",7,20,2.9
/us/alabama/birmingham,city,AL,"Birmingham",4,11,2.8
/us/florida/panama-city,city,FL,"Panama City",6,16,2.7
/us/california/benicia,city,CA,"Benicia",24,62,2.6
/us/florida/west-palm-beach,city,FL,"West Palm Beach",38,98,2.6
/us/colorado/denver,city,CO,"Denver",7,18,2.6
/us/virginia/richmond,city,VA,"Richmond",10,25,2.5
/us/kentucky/paducah,city,KY,"Paducah",2,5,2.5
/us/minnesota/eden-prairie,city,MN,"Eden Prairie",2,5,2.5
/us/arizona/gilbert,city,AZ,"Gilbert",10,24,2.4
/us/colorado/boulder,city,CO,"Boulder",7,16,2.3
/us/wisconsin/green-bay,city,WI,"Green Bay",4,9,2.3
/us/arizona/chandler,city,AZ,"Chandler",10,22,2.2
/us/alabama/huntsville,city,AL,"Huntsville",5,11,2.2
/us/south-carolina/charleston,city,SC,"Charleston",5,11,2.2
/us/tennessee/spring-hill,city,TN,"Spring Hill",9,19,2.1
/us/florida/jacksonville,city,FL,"Jacksonville",15,30,2.0
/us/kentucky/louisville,city,KY,"Louisville",10,20,2.0
/us/alaska/wasilla,city,AK,"Wasilla",3,6,2.0
/us/kentucky/benton,city,KY,"Benton",3,6,2.0
/us/california/irvine,city,CA,"Irvine",33,65,2.0
/us/arizona/surprise,city,AZ,"Surprise",10,19,1.9
/us/texas/fort-worth,city,TX,"Fort Worth",16,29,1.8
/us/new-york/utica,city,NY,"Utica",5,9,1.8
/us/florida/jupiter,city,FL,"Jupiter",38,63,1.7
/us/indiana/indianapolis,city,IN,"Indianapolis",8,13,1.6
/us/connecticut/waterbury,city,CT,"Waterbury",47,74,1.6
/us/california/glendale,city,CA,"Glendale",27,41,1.5
/us/michigan/caledonia,city,MI,"Caledonia",4,6,1.5
/us/kansas/olathe,city,KS,"Olathe",2,3,1.5
/us/michigan/ann-arbor,city,MI,"Ann Arbor",15,22,1.5
/us/alabama/mobile,city,AL,"Mobile",11,16,1.5
/us/illinois/waukegan,city,IL,"Waukegan",18,26,1.4
/us/maryland/baltimore,city,MD,"Baltimore",40,57,1.4
/us/illinois/crystal-lake,city,IL,"Crystal Lake",18,25,1.4
/us/california/stockton,city,CA,"Stockton",24,33,1.4
/us/michigan/lansing,city,MI,"Lansing",16,22,1.4
/us/oregon/beaverton,city,OR,"Beaverton",6,8,1.3
/us/georgia/augusta,city,GA,"Augusta",12,15,1.3
/us/new-york/macedon,city,NY,"Macedon",4,5,1.3
/us/new-york/victor,city,NY,"Victor",4,5,1.3
/us/tennessee/chattanooga,city,TN,"Chattanooga",9,11,1.2
/us/louisiana/houma,city,LA,"Houma",19,23,1.2
/us/arizona/scottsdale,city,AZ,"Scottsdale",10,12,1.2
/us/colorado/fort-collins,city,CO,"Fort Collins",5,6,1.2
/us/new-york/binghamton,city,NY,"Binghamton",5,6,1.2
/us/colorado/colorado-springs,city,CO,"Colorado Springs",6,7,1.2
/us/massachusetts/randolph,city,MA,"Randolph",13,15,1.2
/us/michigan/eastpointe,city,MI,"Eastpointe",21,24,1.1
/us/georgia/albany,city,GA,"Albany",8,9,1.1
/us/new-jersey/west-orange,city,NJ,"West Orange",62,69,1.1
/us/illinois/huntley,city,IL,"Huntley",18,20,1.1
/us/pennsylvania/erie,city,PA,"Erie",10,11,1.1
/us/new-jersey/newark,city,NJ,"Newark",62,68,1.1
/us/ohio/youngstown,city,OH,"Youngstown",11,12,1.1
/us/california/sacramento,city,CA,"Sacramento",24,26,1.1
/us/north-carolina/apex,city,NC,"Apex",11,11,1.0
/us/ohio/maple-heights,city,OH,"Maple Heights",11,11,1.0
/us/texas/round-rock,city,TX,"Round Rock",7,7,1.0
/us/pennsylvania/scranton,city,PA,"Scranton",37,35,0.9
/us/texas/tyler,city,TX,"Tyler",12,11,0.9
/us/michigan/grosse-pointe,city,MI,"Grosse Pointe",22,20,0.9
/us/california/yuba-city,city,CA,"Yuba City",16,14,0.9
/us/texas/arlington,city,TX,"Arlington",16,14,0.9
/us/pennsylvania/doylestown,city,PA,"Doylestown",55,47,0.9
/us/new-jersey/east-brunswick,city,NJ,"East Brunswick",59,50,0.8
/us/florida/boca-raton,city,FL,"Boca Raton",39,33,0.8
/us/texas/plano,city,TX,"Plano",17,14,0.8
/us/florida/north-port,city,FL,"North Port",28,23,0.8
/us/texas/waco,city,TX,"Waco",16,13,0.8
/us/indiana/gary,city,IN,"Gary",15,12,0.8
/us/california/ontario,city,CA,"Ontario",33,25,0.8
/us/california/palmdale,city,CA,"Palmdale",27,20,0.7
/us/georgia/athens,city,GA,"Athens",27,20,0.7
/us/rhode-island/pawtucket,city,RI,"Pawtucket",18,13,0.7
/us/new-york/hauppauge,city,NY,"Hauppauge",46,33,0.7
/us/ohio/beachwood,city,OH,"Beachwood",14,10,0.7
/us/california/modesto,city,CA,"Modesto",24,17,0.7
/us/california/riverside,city,CA,"Riverside",32,22,0.7
/us/louisiana/baton-rouge,city,LA,"Baton Rouge",19,13,0.7
/us/new-york/rhinebeck,city,NY,"Rhinebeck",50,34,0.7
/us/california/lancaster,city,CA,"Lancaster",25,17,0.7
/us/florida/port-charlotte,city,FL,"Port Charlotte",28,19,0.7
/us/ohio/dublin,city,OH,"Dublin",12,8,0.7
/us/texas/beaumont,city,TX,"Beaumont",47,31,0.7
/us/florida/fort-lauderdale,city,FL,"Fort Lauderdale",35,23,0.7
/us/south-carolina/columbia,city,SC,"Columbia",29,18,0.6
/us/florida/pompano-beach,city,FL,"Pompano Beach",39,24,0.6
/us/florida/crestview,city,FL,"Crestview",13,8,0.6
/us/illinois/joliet,city,IL,"Joliet",15,9,0.6
/us/texas/mesquite,city,TX,"Mesquite",17,10,0.6
/us/pennsylvania/orbisonia,city,PA,"Orbisonia",16,9,0.6
/us/new-york/massapequa-park,city,NY,"Massapequa Park",57,32,0.6
/us/illinois/gurnee,city,IL,"Gurnee",18,10,0.6
/us/florida/pembroke-pines,city,FL,"Pembroke Pines",47,26,0.6
/us/ohio/warren,city,OH,"Warren",11,6,0.5
/us/california/oakland,city,CA,"Oakland",24,13,0.5
/us/ohio/hamilton,city,OH,"Hamilton",15,8,0.5
/us/new-jersey/union,city,NJ,"Union",62,33,0.5
/us/louisiana/slidell,city,LA,"Slidell",17,9,0.5
/us/connecticut/bridgeport,city,CT,"Bridgeport",46,24,0.5
/us/california/culver-city,city,CA,"Culver City",27,14,0.5
/us/california/anaheim,city,CA,"Anaheim",32,16,0.5
/us/florida/lake-city,city,FL,"Lake City",14,7,0.5
/us/massachusetts/concord,city,MA,"Concord",14,7,0.5
/us/florida/clearwater,city,FL,"Clearwater",12,6,0.5
/us/arizona/peoria,city,AZ,"Peoria",10,5,0.5
/us/florida/palm-bay,city,FL,"Palm Bay",15,7,0.5
/us/virginia/fredericksburg,city,VA,"Fredericksburg",26,12,0.5
/us/florida/lakeland,city,FL,"Lakeland",22,10,0.5
/us/florida/saint-petersburg,city,FL,"Saint Petersburg",22,10,0.5
/us/washington/bellevue,city,WA,"Bellevue",11,5,0.5
/us/virginia/alexandria,city,VA,"Alexandria",29,13,0.4
/us/florida/fort-myers,city,FL,"Fort Myers",25,11,0.4
/us/new-york/bronxville,city,NY,"Bronxville",63,27,0.4
/us/colorado/broomfield,city,CO,"Broomfield",7,3,0.4
/us/ohio/pickerington,city,OH,"Pickerington",7,3,0.4
/us/florida/coral-springs,city,FL,"Coral Springs",47,20,0.4
/us/california/palo-alto,city,CA,"Palo Alto",24,10,0.4
/us/north-carolina/fayetteville,city,NC,"Fayetteville",12,5,0.4
/us/alabama/phenix-city,city,AL,"Phenix City",15,6,0.4
/us/massachusetts/dartmouth,city,MA,"Dartmouth",13,5,0.4
/us/california/elk-grove,city,CA,"Elk Grove",24,9,0.4
/us/california/fremont,city,CA,"Fremont",24,9,0.4
/us/rhode-island/providence,city,RI,"Providence",19,7,0.4
/us/maryland/columbia,city,MD,"Columbia",30,11,0.4
/us/florida/gainesville,city,FL,"Gainesville",17,6,0.4
/us/california/vallejo,city,CA,"Vallejo",23,8,0.3
/us/california/west-covina,city,CA,"West Covina",26,9,0.3
/us/california/corona,city,CA,"Corona",33,11,0.3
/us/maryland/glen-burnie,city,MD,"Glen Burnie",39,12,0.3
/us/california/pomona,city,CA,"Pomona",33,10,0.3
/us/texas/mckinney,city,TX,"McKinney",17,5,0.3
/us/california/pleasanton,city,CA,"Pleasanton",24,7,0.3
/us/new-jersey/millburn,city,NJ,"Millburn",62,18,0.3
/us/new-york/fishkill,city,NY,"Fishkill",53,15,0.3
/us/new-york/staten-island,city,NY,"Staten Island",62,17,0.3
/us/maryland/laurel,city,MD,"Laurel",30,8,0.3
/us/florida/venice,city,FL,"Venice",28,7,0.3
/us/california/costa-mesa,city,CA,"Costa Mesa",33,8,0.2
/us/florida/bonita-springs,city,FL,"Bonita Springs",29,7,0.2
/us/new-jersey/livingston,city,NJ,"Livingston",62,14,0.2
/us/connecticut/danbury,city,CT,"Danbury",49,11,0.2
/us/new-york/white-plains,city,NY,"White Plains",54,12,0.2
/us/virginia/woodbridge,city,VA,"Woodbridge",27,6,0.2
/us/california/novato,city,CA,"Novato",23,5,0.2
/us/florida/cape-coral,city,FL,"Cape Coral",26,5,0.2
/us/connecticut/new-milford,city,CT,"New Milford",48,9,0.2
/us/florida/boynton-beach,city,FL,"Boynton Beach",38,7,0.2
/us/california/fontana,city,CA,"Fontana",33,6,0.2
/us/ohio/elyria,city,OH,"Elyria",22,4,0.2
/us/florida/delray-beach,city,FL,"Delray Beach",39,7,0.2
/us/new-jersey/passaic,city,NJ,"Passaic",63,11,0.2
/us/california/downey,city,CA,"Downey",29,5,0.2
/us/california/rancho-cucamonga,city,CA,"Rancho Cucamonga",29,5,0.2
/us/texas/humble,city,TX,"Humble",48,8,0.2
/us/california/oceanside,city,CA,"Oceanside",31,5,0.2
/us/california/santa-ana,city,CA,"Santa Ana",33,5,0.2
/us/texas/texas-city,city,TX,"Texas City",48,7,0.1
/us/new-york/garden-city,city,NY,"Garden City",62,9,0.1
/us/new-jersey/bergenfield,city,NJ,"Bergenfield",63,8,0.1
/us/new-jersey/paterson,city,NJ,"Paterson",63,8,0.1
/us/connecticut/naugatuck,city,CT,"Naugatuck",48,5,0.1
/us/new-jersey/jersey-city,city,NJ,"Jersey City",61,6,0.1
/us/new-york/new-hyde-park,city,NY,"New Hyde Park",62,6,0.1
/us/new-york/astoria,city,NY,"Astoria",63,6,0.1
/us/new-jersey/belleville,city,NJ,"Belleville",61,5,0.1
/us/pennsylvania/allentown,city,PA,"Allentown",55,3,0.1
/us/washington-dc,state,DC,"",0,0,0.0
/us/colorado/lakewood,city (noindex),CO,"Lakewood",0,0,0.0
/us/colorado/northglenn,city (noindex),CO,"Northglenn",0,0,0.0
/us/florida/davie,city (noindex),FL,"Davie",0,0,0.0
/us/florida/doral,city (noindex),FL,"Doral",0,0,0.0
/us/florida/lauderhill,city (noindex),FL,"Lauderhill",0,0,0.0
/us/florida/miramar,city (noindex),FL,"Miramar",0,0,0.0
/us/florida/palm-springs,city (noindex),FL,"Palm Springs",0,0,0.0
/us/florida/st-petersburg,city (noindex),FL,"St. Petersburg",0,0,0.0
/us/florida/weston,city (noindex),FL,"Weston",0,0,0.0
/us/iowa/des-moines,city (noindex),IA,"Des Moines",0,0,0.0
/us/louisiana/laplace,city (noindex),LA,"Laplace",0,0,0.0
/us/maryland/woodlawn,city (noindex),MD,"Woodlawn",0,0,0.0
/us/michigan/farmington-hills,city (noindex),MI,"Farmington Hills",0,0,0.0
/us/michigan/orion-township,city (noindex),MI,"Orion Township",0,0,0.0
/us/mississippi/diberville,city (noindex),MS,"D'Iberville",0,0,0.0
/us/missouri/lees-summit,city (noindex),MO,"Lee's Summit",0,0,0.0
/us/missouri/st-louis,city (noindex),MO,"St. Louis",0,0,0.0
/us/montana/bozeman,city (noindex),MT,"Bozeman",0,0,0.0
/us/nevada/reno,city (noindex),NV,"Reno",0,0,0.0
/us/new-jersey/mt-tabor,city (noindex),NJ,"Mt Tabor",0,0,0.0
/us/new-jersey/south-orange-village,city (noindex),NJ,"South Orange Village",0,0,0.0
/us/new-york/queens,city (noindex),NY,"Queens",0,0,0.0
/us/new-york/setauket--east-setauket,city (noindex),NY,"Setauket- East Setauket",0,0,0.0
/us/new-york/st-albans,city (noindex),NY,"St. Albans",0,0,0.0
/us/north-carolina/winston-salem,city (noindex),NC,"Winston-Salem",0,0,0.0
/us/ohio/gahanna,city (noindex),OH,"Gahanna",0,0,0.0
/us/ohio/huber-heights,city (noindex),OH,"Huber Heights",0,0,0.0
/us/ohio/mayfield,city (noindex),OH,"Mayfield",0,0,0.0
/us/ohio/mayfield-heights,city (noindex),OH,"Mayfield Heights",0,0,0.0
/us/ohio/middleburg-heights,city (noindex),OH,"Middleburg Heights",0,0,0.0
/us/ohio/south-euclid,city (noindex),OH,"South Euclid",0,0,0.0
/us/ohio/warrensvl-hts,city (noindex),OH,"WARRENSVL HTS",0,0,0.0
/us/oklahoma/oklahoma-city,city (noindex),OK,"Oklahoma City",0,0,0.0
/us/south-carolina/lake-wylie,city (noindex),SC,"Lake Wylie",0,0,0.0
/us/texas/farmers-branch,city (noindex),TX,"Farmers Branch",0,0,0.0
/us/texas/ingleside,city (noindex),TX,"Ingleside",0,0,0.0
/us/alaska/fairbanks,city,AK,"Fairbanks",1,0,0.0
/us/alaska/tok,city,AK,"Tok",1,0,0.0
/us/texas/brownsville,city,TX,"Brownsville",1,0,0.0
/us/texas/lubbock,city,TX,"Lubbock",1,0,0.0
/us/texas/mcallen,city,TX,"McAllen",1,0,0.0
/us/west-virginia/charleston,city,WV,"Charleston",1,0,0.0
/us/idaho/emmett,city,ID,"Emmett",2,0,0.0
/us/idaho/meridian,city,ID,"Meridian",2,0,0.0
/us/idaho/post-falls,city,ID,"Post Falls",2,0,0.0
/us/iowa/cedar-rapids,city,IA,"Cedar Rapids",2,0,0.0
/us/kansas/overland-park,city,KS,"Overland Park",2,0,0.0
/us/michigan/traverse-city,city,MI,"Traverse City",2,0,0.0
/us/minnesota/saint-paul,city,MN,"Saint Paul",2,0,0.0
/us/missouri/independence,city,MO,"Independence",2,0,0.0
/us/nevada/north-las-vegas,city,NV,"North Las Vegas",2,0,0.0
/us/new-mexico/albuquerque,city,NM,"Albuquerque",2,0,0.0
/us/oklahoma/tulsa,city,OK,"Tulsa",2,0,0.0
/us/oregon/springfield,city,OR,"Springfield",2,0,0.0
/us/utah/west-jordan,city,UT,"West Jordan",2,0,0.0
/us/washington/moses-lake,city,WA,"Moses Lake",2,0,0.0
/us/alaska/anchorage,city,AK,"Anchorage",3,0,0.0
/us/kentucky/hazard,city,KY,"Hazard",3,0,0.0
/us/mississippi/forest,city,MS,"Forest",3,0,0.0
/us/mississippi/ridgeland,city,MS,"Ridgeland",3,0,0.0
/us/new-york/buffalo,city,NY,"Buffalo",3,0,0.0
/us/new-york/derby,city,NY,"Derby",3,0,0.0
/us/tennessee/knoxville,city,TN,"Knoxville",3,0,0.0
/us/virginia/chesapeake,city,VA,"Chesapeake",3,0,0.0
/us/virginia/newport-news,city,VA,"Newport News",3,0,0.0
/us/virginia/norfolk,city,VA,"Norfolk",3,0,0.0
/us/virginia/roanoke,city,VA,"Roanoke",3,0,0.0
/us/michigan/grand-rapids,city,MI,"Grand Rapids",4,0,0.0
/us/new-york/fairport,city,NY,"Fairport",4,0,0.0
/us/new-york/horseheads,city,NY,"Horseheads",4,0,0.0
/us/new-york/webster,city,NY,"Webster",4,0,0.0
/us/tennessee/memphis,city,TN,"Memphis",4,0,0.0
/us/west-virginia/parkersburg,city,WV,"Parkersburg",4,0,0.0
/us/new-york/liverpool,city,NY,"Liverpool",5,0,0.0
/us/new-york/vestal,city,NY,"Vestal",5,0,0.0
/us/pennsylvania/sayre,city,PA,"Sayre",5,0,0.0
/us/new-york/johnstown,city,NY,"Johnstown",6,0,0.0
/us/oregon/gresham,city,OR,"Gresham",6,0,0.0
/us/tennessee/jackson,city,TN,"Jackson",6,0,0.0
/us/colorado/arvada,city,CO,"Arvada",7,0,0.0
/us/colorado/aurora,city,CO,"Aurora",7,0,0.0
/us/colorado/thornton,city,CO,"Thornton",7,0,0.0
/us/colorado/westminster,city,CO,"Westminster",7,0,0.0
/us/maine/scarborough,city,ME,"Scarborough",7,0,0.0
/us/missouri/saint-louis,city,MO,"Saint Louis",7,0,0.0
/us/north-carolina/greenville,city,NC,"Greenville",7,0,0.0
/us/ohio/lancaster,city,OH,"Lancaster",7,0,0.0
/us/ohio/westerville,city,OH,"Westerville",7,0,0.0
/us/massachusetts/harwich-port,city,MA,"Harwich Port",8,0,0.0
/us/ohio/delaware,city,OH,"Delaware",8,0,0.0
/us/oregon/clackamas,city,OR,"Clackamas",8,0,0.0
/us/oregon/salem,city,OR,"Salem",8,0,0.0
/us/oregon/tualatin,city,OR,"Tualatin",8,0,0.0
/us/tennessee/franklin,city,TN,"Franklin",8,0,0.0
/us/tennessee/hendersonville,city,TN,"Hendersonville",8,0,0.0
/us/alabama/dothan,city,AL,"Dothan",9,0,0.0
/us/alabama/opelika,city,AL,"Opelika",9,0,0.0
/us/pennsylvania/edinboro,city,PA,"Edinboro",9,0,0.0
/us/tennessee/goodlettsville,city,TN,"Goodlettsville",9,0,0.0
/us/arizona/mesa,city,AZ,"Mesa",10,0,0.0
/us/new-hampshire/exeter,city,NH,"Exeter",10,0,0.0
/us/north-carolina/cary,city,NC,"Cary",10,0,0.0
/us/ohio/bedford,city,OH,"Bedford",10,0,0.0
/us/california/bakersfield,city,CA,"Bakersfield",11,0,0.0
/us/indiana/fishers,city,IN,"Fishers",11,0,0.0
/us/kentucky/leitchfield,city,KY,"Leitchfield",11,0,0.0
/us/kentucky/richmond,city,KY,"Richmond",11,0,0.0
/us/massachusetts/beverly,city,MA,"Beverly",11,0,0.0
/us/massachusetts/salem,city,MA,"Salem",11,0,0.0
/us/new-york/clifton-park,city,NY,"Clifton Park",11,0,0.0
/us/washington/kent,city,WA,"Kent",11,0,0.0
/us/washington/lakewood,city,WA,"Lakewood",11,0,0.0
/us/new-hampshire/manchester,city,NH,"Manchester",12,0,0.0
/us/ohio/ontario,city,OH,"Ontario",12,0,0.0
/us/ohio/shelby,city,OH,"Shelby",12,0,0.0
/us/washington/lacey,city,WA,"Lacey",12,0,0.0
/us/california/chula-vista,city,CA,"Chula Vista",13,0,0.0
/us/california/salinas,city,CA,"Salinas",13,0,0.0
/us/massachusetts/cambridge,city,MA,"Cambridge",13,0,0.0
/us/massachusetts/woburn,city,MA,"Woburn",13,0,0.0
/us/ohio/grove-city,city,OH,"Grove City",13,0,0.0
/us/massachusetts/lowell,city,MA,"Lowell",14,0,0.0
/us/ohio/independence,city,OH,"Independence",14,0,0.0
/us/ohio/marion,city,OH,"Marion",14,0,0.0
/us/florida/live-oak,city,FL,"Live Oak",15,0,0.0
/us/wisconsin/milwaukee,city,WI,"Milwaukee",15,0,0.0
/us/illinois/crete,city,IL,"Crete",16,0,0.0
/us/michigan/livonia,city,MI,"Livonia",16,0,0.0
/us/michigan/merrill,city,MI,"Merrill",16,0,0.0
/us/michigan/royal-oak,city,MI,"Royal Oak",16,0,0.0
/us/michigan/sterling-heights,city,MI,"Sterling Heights",16,0,0.0
/us/ohio/wickliffe,city,OH,"Wickliffe",16,0,0.0
/us/texas/carrollton,city,TX,"Carrollton",16,0,0.0
/us/texas/grand-prairie,city,TX,"Grand Prairie",16,0,0.0
/us/california/scotts-valley,city,CA,"Scotts Valley",17,0,0.0
/us/louisiana/chalmette,city,LA,"Chalmette",17,0,0.0
/us/louisiana/marrero,city,LA,"Marrero",17,0,0.0
/us/ohio/perrysburg,city,OH,"Perrysburg",17,0,0.0
/us/texas/allen,city,TX,"Allen",17,0,0.0
/us/texas/garland,city,TX,"Garland",17,0,0.0
/us/texas/irving,city,TX,"Irving",17,0,0.0
/us/california/watsonville,city,CA,"Watsonville",18,0,0.0
/us/illinois/highland-park,city,IL,"Highland Park",18,0,0.0
/us/illinois/mchenry,city,IL,"McHenry",18,0,0.0
/us/illinois/naperville,city,IL,"Naperville",18,0,0.0
/us/illinois/northbrook,city,IL,"Northbrook",18,0,0.0
/us/illinois/palos-hills,city,IL,"Palos Hills",18,0,0.0
/us/louisiana/covington,city,LA,"Covington",18,0,0.0
/us/louisiana/metairie,city,LA,"Metairie",18,0,0.0
/us/illinois/hickory-hills,city,IL,"Hickory Hills",19,0,0.0
/us/illinois/rockford,city,IL,"Rockford",19,0,0.0
/us/louisiana/gonzales,city,LA,"Gonzales",19,0,0.0
/us/massachusetts/worcester,city,MA,"Worcester",19,0,0.0
/us/rhode-island/woonsocket,city,RI,"Woonsocket",19,0,0.0
/us/massachusetts/pittsfield,city,MA,"Pittsfield",20,0,0.0
/us/michigan/dearborn,city,MI,"Dearborn",20,0,0.0
/us/michigan/warren,city,MI,"Warren",20,0,0.0
/us/mississippi/pascagoula,city,MS,"Pascagoula",20,0,0.0
/us/california/los-gatos,city,CA,"Los Gatos",21,0,0.0
/us/california/ventura,city,CA,"Ventura",21,0,0.0
/us/mississippi/gulfport,city,MS,"Gulfport",21,0,0.0
/us/california/oxnard,city,CA,"Oxnard",22,0,0.0
/us/georgia/conyers,city,GA,"Conyers",22,0,0.0
/us/california/daly-city,city,CA,"Daly City",23,0,0.0
/us/california/folsom,city,CA,"Folsom",23,0,0.0
/us/california/petaluma,city,CA,"Petaluma",23,0,0.0
/us/california/rohnert-park,city,CA,"Rohnert Park",23,0,0.0
/us/california/roseville,city,CA,"Roseville",23,0,0.0
